product,url product lookup
Bottled water,http://dbpedia.org/resource/Bottled_in_Blonde
Bottled water,http://dbpedia.org/resource/Bottled_oxygen_(climbing)
Bottled water,http://dbpedia.org/resource/List_of_bottled_water_brands
Baby food,http://dbpedia.org/resource/Baby_food
Baby food,http://dbpedia.org/resource/Baby_Ford
Baby food,"http://dbpedia.org/resource/Baby,_Baby,_Baby_(Jimmy_Witherspoon_album)"
Baby food,http://dbpedia.org/resource/Baby-Baby-Baby_(TLC_song)
Baby food,"http://dbpedia.org/resource/Baby,_Baby"
Baby food,"http://dbpedia.org/resource/Baby,_Baby_(Nicole_&_Hugo_song)"
Baby food,"http://dbpedia.org/resource/Baby,_Baby_Don't_Cry"
Baby food,http://dbpedia.org/resource/Baby_Baby_Baby_(Josh_Stone_song)
Baby food,http://dbpedia.org/resource/Tar-Baby
Baby food,http://dbpedia.org/resource/Ooo_Baby_Baby
Baby food,http://dbpedia.org/resource/Baby_Baby_(The_Vibrators_song)
Baby food,http://dbpedia.org/resource/Cry-Baby
Printing,http://dbpedia.org/resource/Printing
Printing,http://dbpedia.org/resource/Contone_(printing)
Printing,http://dbpedia.org/resource/Hydrographics_(printing)
Printing,http://dbpedia.org/resource/Stereotype_(printing)
Printing,http://dbpedia.org/resource/Stripping_(printing)
Printing,http://dbpedia.org/resource/Quoin_(printing)
Printing,http://dbpedia.org/resource/Bleed_(printing)
Printing,http://dbpedia.org/resource/Forme_(printing)
Printing,http://dbpedia.org/resource/Matrix_(printing)
Printing,http://dbpedia.org/resource/Broadside_(printing)
Printing press,http://dbpedia.org/resource/Printing_press
Printing press,http://dbpedia.org/resource/Printing
Printing press,http://dbpedia.org/resource/Contone_(printing)
Printing press,http://dbpedia.org/resource/Hydrographics_(printing)
Printing press,http://dbpedia.org/resource/Stereotype_(printing)
Printing press,http://dbpedia.org/resource/Stripping_(printing)
Printing press,http://dbpedia.org/resource/Quoin_(printing)
Printing press,http://dbpedia.org/resource/Bleed_(printing)
Printing press,http://dbpedia.org/resource/Forme_(printing)
Printing press,http://dbpedia.org/resource/Matrix_(printing)
Printing press,http://dbpedia.org/resource/Broadside_(printing)
Platesetter,http://dbpedia.org/resource/Platesetter
Machine,http://dbpedia.org/resource/Machine_(EP)
Machine,http://dbpedia.org/resource/NEMA_(machine)
Machine,http://dbpedia.org/resource/J–Machine
Machine,http://dbpedia.org/resource/Machine_(Higdon)
Machine,http://dbpedia.org/resource/Machine
Machine,http://dbpedia.org/resource/Machine_to_machine
Machine,http://dbpedia.org/resource/Go-Machine
Machine,http://dbpedia.org/resource/Stream_X-Machine
Machine,http://dbpedia.org/resource/Communicating_X-Machine
Machine,http://dbpedia.org/resource/Diatype_(machine)
Canning,http://dbpedia.org/resource/Canning_I
Canning,http://dbpedia.org/resource/Canning
Canning,"http://dbpedia.org/resource/Canning,_Liverpool"
Canning,"http://dbpedia.org/resource/Canning,_South_Dakota"
Canning,"http://dbpedia.org/resource/Canning,_Buenos_Aires"
Canning,"http://dbpedia.org/resource/Canning,_Nova_Scotia"
Canning,"http://dbpedia.org/resource/Charlotte_Canning,_Countess_Canning"
Canning,http://dbpedia.org/resource/Robert_Gordon-Canning
Canning,"http://dbpedia.org/resource/Netra,_Canning"
Canning,"http://dbpedia.org/resource/Charles_Canning,_1st_Earl_Canning"
Packaging,http://dbpedia.org/resource/Filler_(packaging)
Packaging,http://dbpedia.org/resource/Packaging_and_packaging_waste_directive
Packaging,http://dbpedia.org/resource/Packaging_World
Packaging,http://dbpedia.org/resource/Resealable_packaging
Packaging,http://dbpedia.org/resource/Gateway_Packaging
Packaging,http://dbpedia.org/resource/Luxury_packaging
Packaging,http://dbpedia.org/resource/Essentra_Packaging
Packaging,http://dbpedia.org/resource/Active_packaging
Packaging,http://dbpedia.org/resource/Packaging_Digest
Packaging,http://dbpedia.org/resource/Packaging_machine
Product lifecycle management,http://dbpedia.org/resource/Product_lifecycle
Product lifecycle management,http://dbpedia.org/resource/Product/market_fit
Product lifecycle management,http://dbpedia.org/resource/Anti-Product
Product lifecycle management,http://dbpedia.org/resource/Facelift_(product)
Product lifecycle management,http://dbpedia.org/resource/Product-form_solution
Product lifecycle management,http://dbpedia.org/resource/Product-determining_step
Product lifecycle management,http://dbpedia.org/resource/Product/process_distinction
Product lifecycle management,http://dbpedia.org/resource/Product_(Sophie_album)
Product lifecycle management,http://dbpedia.org/resource/Product-service_system
Product lifecycle management,http://dbpedia.org/resource/By-product
Product lifecycle management,http://dbpedia.org/resource/Product-based_planning
3D computer graphics,http://dbpedia.org/resource/3D_computer_graphics
3D computer graphics,"http://dbpedia.org/resource/3D_computer_graphics,_CAD"
3D computer graphics,http://dbpedia.org/resource/3M_computer
3D computer graphics,http://dbpedia.org/resource/Loft_(3D)
3D computer graphics,http://dbpedia.org/resource/K2-3d
3D computer graphics,http://dbpedia.org/resource/3D
3D computer graphics,http://dbpedia.org/resource/3d_Wing
3D computer graphics,http://dbpedia.org/resource/3d_Reconnaissance_Squadron
3D computer graphics,http://dbpedia.org/resource/3D@Home_Consortium
3D computer graphics,http://dbpedia.org/resource/3D-printed_spacecraft
3D computer graphics,http://dbpedia.org/resource/3d_Air_Division
3D computer graphics,http://dbpedia.org/resource/3d_Fighter_Squadron_(Commando)
3D computer graphics,http://dbpedia.org/resource/Nato.0+55+3d
Cable harness,http://dbpedia.org/resource/Cable_harness
Cable harness,"http://dbpedia.org/resource/Cable,_Ohio"
Cable harness,"http://dbpedia.org/resource/Cable,_Minnesota"
Cable harness,"http://dbpedia.org/resource/Cable,_Wisconsin"
Cable harness,"http://dbpedia.org/resource/Cable,_Illinois"
